STATE/UT,CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Rajasthan,RAPE,3.87270646435559,3.80342344298484,3.72591462332777,3.61319966583124,3.39232030609456,3.63959612223676,4.07974954687757,4.3883797001004,4.83680942525076,4.92090837901331,5.54938956714761,6.22077843220596
Sikkim,RAPE,3.17460317460317,2.35294117647059,3.86100386100386,1.14503816793893,6.76691729323308,7.43494423791822,8.79120879120879,7.2463768115942,6.42857142857143,6.33802816901408,5.57491289198606,11.6838487972509
Tamil Nadu,RAPE,1.36429608127721,1.70585228724764,1.76304877662773,1.93900602409639,1.77649181755958,1.41027619194569,1.60144528140119,1.74148253958606,1.79843089921545,2.05580029368576,2.01536080019052,2.179957406531
Tripura,RAPE,6.55105973025048,6.84410646387833,7.12945590994371,9.87654320987654,9.87804878048781,11.3786875376279,9.33412604042806,11.9788608338227,11.0208816705336,13.6467889908257,11.614730878187,12.8219484882419
Uttar Pradesh,RAPE,2.49004870728575,1.76409719365174,1.11352857771476,1.67443755918064,1.43075476134493,1.51569330857163,1.86562517688346,2.07914300636744,1.91925804691762,1.67504367116417,2.15024324495082,2.03171251733631
Uttarakhand,RAPE,1.77756425654576,2.10203117619273,2.48490478402229,2.62737034498515,2.98943582827602,3.25221238938053,2.54846438684382,1.86615186615187,2.34573119188504,2.51978342357351,2.64832683227263,2.99655800769387
West Bengal,RAPE,1.83156807026608,1.93282232804502,2.51771445801297,3.6597771878024,4.13326469074061,4.19453329456237,5.04660803719058,5.36586522502016,5.48292453937331,5.3707964396105,5.437934367377,4.66335415052195
A&N Islands,RAPE,1.84049079754601,1.21212121212121,1.18343195266272,5.74712643678161,2.20994475138122,3.19148936170213,1.53061224489796,5.85365853658537,8.37209302325581,10.7142857142857,5.5793991416309,4.9792531120332
Chandigarh,RAPE,4.56852791878173,4.5,4.36893203883495,4.41860465116279,7.33333333333333,4.03397027600849,4.44444444444444,3.83141762452107,5.27272727272727,5.35405872193437,4.45544554455446,4.27215189873418
D&N Haveli,RAPE,6.06060606060606,4.25531914893617,1.06382978723404,7.21649484536082,4.85436893203883,5.5045871559633,5.98290598290598,4.7244094488189,2.87769784172662,2,2.5,1.77514792899408
Daman & Diu,RAPE,0,0,6.66666666666667,1.26582278481013,2.4390243902439,3.52941176470588,1.13636363636364,0,1.0989010989011,1.0752688172043,1.05263157894737,5.15463917525773
Delhi UT,RAPE,6.10283517539644,6.26944617299316,7.4107683000605,8.10413296072952,9.4134477825465,8.66963540217089,8.09639859193068,6.13965744400527,6.01436265709156,6.32721827031075,6.94596235579842,8.3402244536326
Lakshadweep,RAPE,0,3.125,6.06060606060606,0,0,0,2.7027027027027,5.40540540540541,2.7027027027027,0,0,0
Puducherry,RAPE,1.84804928131417,1.22699386503067,0.401606425702811,0.78125,1.13421550094518,1.64533820840951,1.58730158730159,1.35593220338983,0.16260162601626,0.46875,1.0590015128593,1.90895741556535
All India,RAPE,16075,16373,15847,18233,18359,19348,20737,21467,21397,22172,24206,24923
Andhra Pradesh,KIDNAPPING & ABDUCTION,2.0300931454502,2.23683176615417,2.40817382307294,2.63231874057604,2.51345138555586,3.31951243880508,3.86420912190542,3.41320293398533,3.69348436441088,3.66935097306107,3.82679707530149,3.29985652797704
Arunachal Pradesh,KIDNAPPING & ABDUCTION,10.6177606177606,7.23809523809524,9.58646616541353,7.60667903525046,7.14285714285714,9.22242314647378,7.85714285714286,8.28924162257496,4.88656195462478,7.93103448275862,10.221465076661,9.76430976430977
Assam,KIDNAPPING & ABDUCTION,8.30874359372574,9.74789915966387,10.1594224695443,11.495444781868,10.6261859582543,11.1063156380377,10.4333640683736,12.5157408702952,14.4415297528648,18.8513421447064,21.4660390047075,22.3092756125091
Bihar,KIDNAPPING & ABDUCTION,1.30298075713747,1.8348623853211,1.63085559427023,2.36850857604409,2.16817980255327,2.48703712201166,2.84347355118252,3.97334813992227,4.34345201644651,5.53556422245685,6.47833474936279,7.93707319116846
Chhattisgarh,KIDNAPPING & ABDUCTION,1.65057915057915,1.46054628224583,1.38927738927739,1.59603742432581,1.66124954857349,1.58236287670015,1.58507750240827,1.86415810822473,1.94843869650302,2.34119325333557,3.02127307342107,2.85854295981705
Goa,KIDNAPPING & ABDUCTION,0.909090909090909,0.759878419452888,1.95195195195195,1.47058823529412,1.72166427546628,1.39664804469274,0.949796472184532,3.6697247706422,2.78128950695322,2.20048899755501,2.02140309155767,1.85614849187935
Gujarat,KIDNAPPING & ABDUCTION,3.52892732139181,3.26932425862907,3.42558621789759,3.55417664847033,3.5443429809627,3.60411899313501,4.0955246333208,4.15151740001484,4.2543843590964,4.66259442657317,5.14705882352941,5.38453401036708
Haryana,KIDNAPPING & ABDUCTION,3.03649933544627,2.90726817042607,2.66496213983676,2.81798880524995,3.25911890099479,4.0107947143123,5.06583760058522,5.78876404494382,5.82515689914258,6.20869565217391,6.27299957210099,7.58277866711602
Himachal Pradesh,KIDNAPPING & ABDUCTION,3.51170568561873,3.83217707300958,3.13418217433888,3.19561007101356,3.25670498084291,3.44283006948831,4.68896530165677,4.24017332095327,3.74003678724709,4.91952626784087,5.74954846478025,4.53595941509997
Jammu & Kashmir,KIDNAPPING & ABDUCTION,10.5373196738449,12.2583299053887,12.4418369411289,12.5796178343949,12.8893241919687,13.9440694310511,13.4283000949668,12.2731524789523,15.2101769911504,15.2671755725191,18.3366194658541,18.4117438981252
Jharkhand,KIDNAPPING & ABDUCTION,2.13613046474236,1.33794347564642,1.93529324863348,1.29304082522156,2.0228734810579,2.88508901555133,3.70088017187608,3.40800437098757,3.48101265822785,4.62090027884743,4.32106848238837,5.07555211158466
Karnataka,KIDNAPPING & ABDUCTION,1.04423551171393,1.14016418364244,0.915091509150915,1.05886708626435,1.14076782449726,1.18475708867618,1.39211136890951,1.42917637095067,1.42378559463987,2.0228520142221,2.44210670127741,3.61694216272859
Kerala,KIDNAPPING & ABDUCTION,0.592438771147621,0.550947508627475,0.612244897959184,0.845187786441283,0.761556172147116,1.1830853929952,1.02871091479716,0.957544993077988,0.990722712175008,1.04634631788456,1.24830546769092,1.2009652617992
Madhya Pradesh,KIDNAPPING & ABDUCTION,2.31109880985331,2.16683621566633,2.02201602979813,1.90594301752554,1.93533916498446,1.94190035564788,2.16813064456266,2.23803442194247,2.51525302069626,3.03101642045789,3.15115706548498,3.21366449000542
Maharashtra,KIDNAPPING & ABDUCTION,1.31460045612978,1.37671029779303,1.30536324964551,1.61598324469723,1.72113906641857,1.83535601123931,1.89920653625579,1.93219879576388,1.76778282616166,2.11656152904623,2.32644566671622,2.0910141418588
